,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2010-12,1.66,5.74
1,1,1,2011-12,2.2,5.99
2,2,2,2012-12,1.66,5.51
3,3,3,2013-12,1.95,5.45
4,4,4,2014-12,1.77,4.97
5,5,5,2015-12,2.38,6.32
6,6,6,2016-12,2.2,5.33
7,7,7,2017-12,2.68,10.18
8,8,8,2018-12,3.73,8.25
9,9,9,2019-12,3.47,8.36
10,10,10,TTM,0.0,8.36
