Date,FCFPS,ROIC
2011-01,0.0,0.0
2012-01,0.0,0.0
2013-01,0.0,0.0
2014-01,0.0,0.0
2015-01,0.0,0.0
2016-01,0.0,0.0
2017-01,0.0,0.0
2018-01,0.0,0.0
2019-01,0.0,0.0
2020-01,-0.17,-189.69
TTM,0.0,-189.69
