,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2009-12,0.0,-9.61
1,1,1,1,1,2010-12,-2.29,19.37
2,2,2,2,2,2011-12,-4.15,17.54
3,3,3,3,3,2012-12,-8.07,0.08
4,4,4,4,4,2013-12,-5.1,0.71
5,5,5,5,5,2014-12,-15.68,5.85
6,6,6,6,6,2015-12,-4.12,-53.25
7,7,7,7,7,2016-12,-5.55,-15.35
8,8,8,8,8,2017-12,0.03,7.3
9,9,9,9,9,2018-12,-0.91,19.03
10,10,10,10,10,TTM,0.0,10.92
