,FCFPS,ROIC
2009-09,0.0,-4.45
2010-12,-0.77,6.53
2011-12,-1.53,-19.15
2012-12,0.44,12.68
2013-12,2.07,27.51
2014-12,3.52,32.38
2015-12,3.66,29.28
2016-12,1.69,21.94
2017-12,2.05,23.43
2018-12,1.18,7.98
TTM,0.0,9.46
