,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2009-12,0.0,28.53
1,1,1,1,1,2010-12,3.94,21.72
2,2,2,2,2,2011-12,5.24,18.69
3,3,3,3,3,2012-12,0.63,10.69
4,4,4,4,4,2013-12,1.39,14.19
5,5,5,5,5,2014-12,3.06,20.02
6,6,6,6,6,2015-12,0.36,13.16
7,7,7,7,7,2016-12,-1.84,11.14
8,8,8,8,8,2017-12,2.14,3.61
9,9,9,9,9,2018-12,2.32,6.26
10,10,10,10,10,TTM,0.0,6.01
