,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,2009-12,0.0,6.06
1,1,1,1,1,1,2010-12,1.13,6.98
2,2,2,2,2,2,2011-12,1.23,1.71
3,3,3,3,3,3,2012-12,0.89,-1.1
4,4,4,4,4,4,2013-12,2.71,6.01
5,5,5,5,5,5,2014-12,2.54,9.29
6,6,6,6,6,6,2015-12,2.25,4.48
7,7,7,7,7,7,2016-12,1.42,3.44
8,8,8,8,8,8,2017-12,1.76,4.02
9,9,9,9,9,9,2018-12,1.09,4.08
10,10,10,10,10,10,TTM,0.0,-8.03
