,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2010-01,0.0,12.58
1,1,2011-01,3.73,4.61
2,2,2012-01,4.4,8.68
3,3,2013-01,5.62,10.29
4,4,2014-01,1.22,3.8
5,5,2015-01,5.48,6.92
6,6,2016-01,7.22,8.58
7,7,2017-01,10.18,8.14
8,8,2018-01,3.81,7.86
9,9,2019-01,5.22,9.93
10,10,TTM,0.0,7.57
