Date,FCFPS,ROIC
2010-12,0.0,794.08
2011-12,0.11,-44.18
2012-12,-0.18,-11.26
2013-12,0.04,-2.14
2014-12,-0.01,-12.14
2015-12,-0.06,-6.73
2016-12,0.03,-6.53
2017-12,0.1,1.42
2018-12,0.11,0.62
2019-12,0.25,1.75
TTM,0.0,1.75
