,FCFPS,ROIC
2009-12,0.0,-62.97
2010-12,0.62,-41.67
2011-12,-0.07,127.85
2012-12,-0.4,27.77
2013-12,0.46,57.23
2014-12,1.14,70.96
2015-12,1.0,9.47
2016-12,-0.18,4.02
2017-12,1.01,8.77
2018-12,0.62,5.07
TTM,0.0,-24.0
