,FCFPS,ROIC
2009-12,0.0,0.0
2010-12,0.0,0.0
2011-12,0.0,0.0
2012-12,0.0,0.0
2013-12,0.0,0.0
2014-12,0.0,0.0
2015-12,-19.72,-70.89
2016-12,-30.55,-60.1
2017-12,-25.92,-61.68
2018-12,-17.5,-51.65
TTM,0.0,-49.24
