,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FCFPS,ROIC
0,0,0,2010-09,1.4,5.79
1,1,1,2011-09,1.39,8.12
2,2,2,2012-09,1.27,9.57
3,3,3,2013-09,1.55,7.93
4,4,4,2014-09,-1.04,5.73
5,5,5,2015-09,1.77,6.33
6,6,6,2016-09,2.49,7.06
7,7,7,2017-09,1.37,5.33
8,8,8,2018-09,2.92,4.89
9,9,9,2019-09,4.23,2.71
10,10,10,TTM,0.0,1.27
