Date,ROIC,FCFPS
2010-12,-3.36,0.0
2011-12,4.81,0.53
2012-12,9.69,0.26
2013-12,14.83,1.18
2014-12,11.57,1.12
2015-12,11.56,0.52
2016-12,8.01,0.11
2017-12,9.13,1.46
2018-12,1.74,1.23
2019-12,-14.48,0.16
TTM,-7.71,0.0
