,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2009-12,0.0,7.85
1,1,2010-12,2.44,12.56
2,2,2011-12,0.93,4.57
3,3,2012-12,-6.26,-5.11
4,4,2013-12,-1.88,8.55
5,5,2014-12,5.64,-1.92
6,6,2015-12,3.67,16.03
7,7,2016-12,9.48,25.06
8,8,2017-12,5.44,22.09
9,9,2018-12,10.51,16.93
10,10,TTM,0.0,8.79
