,Unnamed: 0,Unnamed: 0.1,FCFPS,ROIC
0,0,2009-12,0.0,10.11
1,1,2010-12,1.02,-1.47
2,2,2011-12,0.62,0.0
3,3,2012-12,0.56,0.0
4,4,2013-12,0.67,33.47
5,5,2014-12,-0.11,3.08
6,6,2015-12,-0.66,5.42
7,7,2016-12,-0.17,3.4
8,8,2017-12,0.07,0.83
9,9,2018-12,0.25,5.41
10,10,TTM,0.0,3.45
