Date,ROIC,FCFPS
2012-12,42.98,2.17
2013-12,43.09,2.92
2014-12,42.09,3.02
2015-12,43.81,2.9
2016-12,40.96,3.74
2017-12,36.89,4.01
2018-12,51.99,5.79
2019-12,64.76,5.71
2020-12,39.41,7.14
2021-12,44.94,7.83
TTM,47.13,0.0
