Date,ROIC,FCFPS
2012-12,7.08,1.69
2013-12,2.53,2.63
2014-12,10.59,2.52
2015-12,6.93,2.74
2016-12,9.85,3.13
2017-12,15.09,3.92
2018-12,14.01,3.87
2019-12,10.83,4.16
2020-12,8.76,5.05
2021-12,10.04,6.07
TTM,10.5,0.0
