,FCFPS,ROIC
2010-06,-8.2,-70.38
2011-06,-5.14,-149.66
2012-06,-3.99,-236.14
2013-06,-1.29,-56.8
2014-06,-0.87,-67.95
2015-06,-1.09,-62.37
2016-06,-0.61,-41.3
2017-06,0.08,5.15
2018-06,-0.55,-79.96
2019-06,-0.38,-36.85
TTM,0.0,-59.82
