,FCFPS,ROIC
2009-12,0.0,4.75
2010-12,-0.03,-10.03
2011-12,0.32,12.18
2012-12,-0.62,3.35
2013-12,-0.67,-12.25
2014-12,0.01,-1.8
2015-12,-0.85,-45.96
2016-12,-0.85,15.69
2017-12,-0.83,-34.23
2018-12,-0.17,-13.41
TTM,0.0,-11.82
