,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2010-12,-0.74,6.87
1,1,1,1,1,2011-12,0.33,6.24
2,2,2,2,2,2012-12,-3.53,4.9
3,3,3,3,3,2013-12,-5.17,3.65
4,4,4,4,4,2014-12,-8.16,4.76
5,5,5,5,5,2015-12,-3.51,2.25
6,6,6,6,6,2016-12,-0.89,5.88
7,7,7,7,7,2017-12,-0.73,5.38
8,8,8,8,8,2018-12,0.72,4.27
9,9,9,9,9,2019-12,1.39,5.96
10,10,10,10,10,TTM,0.0,5.96
