,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,2009-12,0.0,4.87
1,1,1,1,1,2010-12,1.72,9.04
2,2,2,2,2,2011-12,0.77,8.11
3,3,3,3,3,2012-12,0.43,8.28
4,4,4,4,4,2013-12,1.5,8.14
5,5,5,5,5,2014-12,1.23,12.23
6,6,6,6,6,2015-12,1.7,10.47
7,7,7,7,7,2016-12,0.79,9.49
8,8,8,8,8,2017-12,1.74,11.17
9,9,9,9,9,2018-12,1.75,15.22
10,10,10,10,10,TTM,0.0,11.5
