,FCFPS,ROIC
2009-12,0.0,0
2010-12,1.72,0
2011-12,1.69,0
2012-12,0.63,0
2013-12,0.92,0
2014-12,-0.06,0
2015-12,0.39,0
2016-12,0.18,0
2017-12,0.98,0
2018-12,0.63,0
TTM,0.0,0
