,FCFPS,ROIC
2010-01,0.0,11.3
2011-01,0.14,32.6
2012-01,1.4,12.6
2013-01,0.79,9.54
2014-01,0.26,12.11
2015-01,1.76,11.42
2016-01,2.8,7.9
2017-01,2.41,12.4
2018-01,5.68,13.8
2019-01,4.44,13.71
TTM,0.0,9.92
