Date,ROIC,FCFPS
2012-12,0.0,0.0
2013-12,0.0,0.0
2014-12,0.0,0.0
2015-12,0.0,0.0
2016-12,0.0,0.0
2017-12,0.0,0.0
2018-12,0.0,0.0
2019-12,-3.89,-0.89
2020-12,-12.37,-1.95
2021-12,-21.15,-4.95
TTM,-21.15,0.0
