,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2009-12,0.0,-8.18
1,1,1,1,2010-12,-0.68,-27.97
2,2,2,2,2011-12,-0.18,1.34
3,3,3,3,2012-12,0.55,4.57
4,4,4,4,2013-12,0.34,72.76
5,5,5,5,2014-12,0.55,4.1
6,6,6,6,2015-12,0.73,4.18
7,7,7,7,2016-12,0.96,2.79
8,8,8,8,2017-12,1.21,-61.21
9,9,9,9,2018-12,-0.85,-75.6
10,10,10,10,TTM,0.0,-49.74
