,FCFPS,ROIC
2009-12,0.0,-204.17
2010-12,-75.6,-121.43
2011-12,-64.3,-87.25
2012-12,-51.6,-5.56
2013-12,-104.67,-95.5
2014-12,-131.51,-140.11
2015-12,-310.36,-71.44
2016-12,-594.94,-407.33
2017-12,-281.47,0.0
2018-12,-200.96,0.0
TTM,0.0,0.0
