,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,2010-01,0.0,0.0
1,1,1,1,1,1,2011-01,0.0,0.0
2,2,2,2,2,2,2012-01,0.0,0.0
3,3,3,3,3,3,2013-01,0.0,0.0
4,4,4,4,4,4,2014-01,0.85,0.0
5,5,5,5,5,5,2015-01,1.13,0.0
6,6,6,6,6,6,2016-01,1.39,0.0
7,7,7,7,7,7,2017-01,4.49,0.0
8,8,8,8,8,8,2018-01,4.01,38.14
9,9,9,9,9,9,2019-01,6.72,36.5
10,10,10,10,10,10,TTM,0.0,18.44
