,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,FCFPS,ROIC
0,0,0,0,0,0,2009-12,0.0,5.1
1,1,1,1,1,1,2010-12,1.14,8.36
2,2,2,2,2,2,2011-12,-0.23,6.77
3,3,3,3,3,3,2012-12,0.3,5.09
4,4,4,4,4,4,2013-12,0.4,4.72
5,5,5,5,5,5,2014-12,0.1,4.24
6,6,6,6,6,6,2015-12,0.48,-6.41
7,7,7,7,7,7,2016-12,0.37,-3.79
8,8,8,8,8,8,2017-12,0.11,0.99
9,9,9,9,9,9,2018-12,0.21,7.41
10,10,10,10,10,10,TTM,0.0,5.3
