,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FCFPS,ROIC
0,0,0,0,2009-12,0.0,21.54
1,1,1,1,2010-12,-2.89,26.89
2,2,2,2,2011-12,-1.54,24.44
3,3,3,3,2012-12,8.31,-1.93
4,4,4,4,2013-12,-12.87,3.0
5,5,5,5,2014-12,-6.31,0.68
6,6,6,6,2015-12,5.82,0.45
7,7,7,7,2016-12,5.13,-0.73
8,8,8,8,2017-12,0.98,-4.11
9,9,9,9,2018-12,0.48,-30.33
10,10,10,10,TTM,0.0,-34.16
